Language,CountryCode,IsOfficial,Percentage
Chuabo,MOZ,F,5.7
Lomwe,MOZ,F,7.8
Makua,MOZ,F,27.8
Marendje,MOZ,F,3.5
Nyanja,MOZ,F,3.3
Ronga,MOZ,F,3.7
Sena,MOZ,F,9.4
Shona,MOZ,F,6.5
Tsonga,MOZ,F,12.4
Tswa,MOZ,F,6.0
Ful,MRT,F,1.2
Hassaniya,MRT,F,81.7
Soninke,MRT,F,2.7
Tukulor,MRT,F,5.4
Wolof,MRT,F,6.6
Zenaga,MRT,F,1.2
English,MSR,T,0.0
Creole French,MTQ,F,96.6
French,MTQ,T,0.0
Bhojpuri,MUS,F,21.1
Creole French,MUS,F,70.6
French,MUS,F,3.4
Hindi,MUS,F,1.2
Marathi,MUS,F,0.7
Tamil,MUS,F,0.8
Chichewa,MWI,T,58.3
Lomwe,MWI,F,18.4
Ngoni,MWI,F,6.7
Yao,MWI,F,13.2
Chinese,MYS,F,9.0
Dusun,MYS,F,1.1
English,MYS,F,1.6
Iban,MYS,F,2.8
Malay,MYS,T,58.4
Tamil,MYS,F,3.9
French,MYT,T,20.3
Mahor??,MYT,F,41.9
Malagasy,MYT,F,16.1
Afrikaans,NAM,F,9.5
Caprivi,NAM,F,4.7
German,NAM,F,0.9
Herero,NAM,F,8.0
Kavango,NAM,F,9.7
Nama,NAM,F,12.4
Ovambo,NAM,F,50.7
San,NAM,F,1.9
French,NCL,T,34.3
Malenasian Languages,NCL,F,45.4
Polynesian Languages,NCL,F,11.6
Ful,NER,F,9.7
Hausa,NER,F,53.1
Kanuri,NER,F,4.4
Songhai-zerma,NER,F,21.2
Tamashek,NER,F,10.4
English,NFK,T,0.0
Bura,NGA,F,1.6
Edo,NGA,F,3.3
Ful,NGA,F,11.3
Hausa,NGA,F,21.1
Ibibio,NGA,F,5.6
Ibo,NGA,F,18.1
Ijo,NGA,F,1.8
Joruba,NGA,F,21.4
Kanuri,NGA,F,4.1
Tiv,NGA,F,2.3
Creole English,NIC,F,0.5
Miskito,NIC,F,1.6
Spanish,NIC,T,97.6
Sumo,NIC,F,0.2
English,NIU,T,0.0
Niue,NIU,F,0.0
Arabic,NLD,F,0.9
Dutch,NLD,T,95.6
Fries,NLD,F,3.7
Turkish,NLD,F,0.8
Danish,NOR,F,0.4
English,NOR,F,0.5
Norwegian,NOR,T,96.6
Saame,NOR,F,0.0
Swedish,NOR,F,0.3
Bhojpuri,NPL,F,7.5
Hindi,NPL,F,3.0
Maithili,NPL,F,11.9
Nepali,NPL,T,50.4
Newari,NPL,F,3.7
Tamang,NPL,F,4.9
Tharu,NPL,F,5.4
Chinese,NRU,F,8.5
English,NRU,T,7.5
Kiribati,NRU,F,17.9
Nauru,NRU,T,57.5
Tuvalu,NRU,F,8.5
English,NZL,T,87.0
Maori,NZL,F,4.3
Arabic,OMN,T,76.7
Balochi,OMN,F,0.0
Balochi,PAK,F,3.0
Brahui,PAK,F,1.2
Hindko,PAK,F,2.4
Pashto,PAK,F,13.1
Punjabi,PAK,F,48.2
Saraiki,PAK,F,9.8
Sindhi,PAK,F,11.8
Urdu,PAK,T,7.6
Arabic,PAN,F,0.6
Creole English,PAN,F,14.0
Cuna,PAN,F,2.0
Embera,PAN,F,0.6
Guaym??,PAN,F,5.3
Spanish,PAN,T,76.8
Pitcairnese,PCN,F,0.0
Aimar??,PER,T,2.3
Ket??ua,PER,T,16.4
Spanish,PER,T,79.8
Bicol,PHL,F,5.7
Cebuano,PHL,F,23.3
Hiligaynon,PHL,F,9.1
Ilocano,PHL,F,9.3
Maguindanao,PHL,F,1.4
Maranao,PHL,F,1.3
Pampango,PHL,F,3.0
Pangasinan,PHL,F,1.8
Pilipino,PHL,T,29.3
Waray-waray,PHL,F,3.8
Chinese,PLW,F,1.6
English,PLW,T,3.2
Palau,PLW,T,82.2
Philippene Languages,PLW,F,9.2
Malenasian Languages,PNG,F,20.0
Papuan Languages,PNG,F,78.1
Belorussian,POL,F,0.5
German,POL,F,1.3
Polish,POL,T,97.6
Ukrainian,POL,F,0.6
English,PRI,F,47.4
Spanish,PRI,T,51.3
Chinese,PRK,F,0.1
Korean,PRK,T,99.9
Portuguese,PRT,T,99.0
German,PRY,F,0.9
Guaran??,PRY,T,40.1
Portuguese,PRY,F,3.2
Spanish,PRY,T,55.1
Arabic,PSE,F,95.9
Hebrew,PSE,F,4.1
Chinese,PYF,F,2.9
French,PYF,T,40.8
Tahitian,PYF,F,46.4
Arabic,QAT,T,40.7
Urdu,QAT,F,0.0
Chinese,REU,F,2.8
Comorian,REU,F,2.8
Creole French,REU,F,91.5
Malagasy,REU,F,1.4
Tamil,REU,F,0.0
German,ROM,F,0.4
Hungarian,ROM,F,7.2
Romani,ROM,T,0.7
Romanian,ROM,T,90.7
Serbo-Croatian,ROM,F,0.1
Ukrainian,ROM,F,0.3
Avarian,RUS,F,0.4
Bashkir,RUS,F,0.7
Belorussian,RUS,F,0.3
Chechen,RUS,F,0.6
Chuvash,RUS,F,0.9
Kazakh,RUS,F,0.4
Mari,RUS,F,0.4
Mordva,RUS,F,0.5
Russian,RUS,T,86.6
Tatar,RUS,F,3.2
Udmur,RUS,F,0.3
Ukrainian,RUS,F,1.3
French,RWA,T,0.0
Rwanda,RWA,T,100.0
Arabic,SAU,T,95.0
Arabic,SDN,T,49.4
Bari,SDN,F,2.5
Beja,SDN,F,6.4
Chilluk,SDN,F,1.7
Dinka,SDN,F,11.5
Fur,SDN,F,2.1
Lotuko,SDN,F,1.5
Nubian Languages,SDN,F,8.1
Nuer,SDN,F,4.9
Zande,SDN,F,2.7
Diola,SEN,F,5.0
Ful,SEN,F,21.7
Malinke,SEN,F,3.8
Serer,SEN,F,12.5
Soninke,SEN,F,1.3
Wolof,SEN,T,48.1
Chinese,SGP,T,77.1
Malay,SGP,T,14.1
Tamil,SGP,T,7.4
English,SHN,T,0.0
Norwegian,SJM,T,0.0
Russian,SJM,F,0.0
Malenasian Languages,SLB,F,85.6
Papuan Languages,SLB,F,8.6
Polynesian Languages,SLB,F,3.8
Bullom-sherbro,SLE,F,3.8
Ful,SLE,F,3.8
Kono-vai,SLE,F,5.1
Kuranko,SLE,F,3.4
Limba,SLE,F,8.3
Mende,SLE,F,34.8
Temne,SLE,F,31.8
Yalunka,SLE,F,3.4
Nahua,SLV,F,0.0
Spanish,SLV,T,100.0
Italian,SMR,T,100.0
Arabic,SOM,T,0.0
Somali,SOM,T,98.3
French,SPM,T,0.0
Crioulo,STP,F,86.3
French,STP,F,0.7
Hindi,SUR,F,0.0
Sranantonga,SUR,F,81.0
Czech and Moravian,SVK,F,1.1
Hungarian,SVK,F,10.5
Romani,SVK,F,1.7
Slovak,SVK,T,85.6
Ukrainian and Russian,SVK,F,0.6
Hungarian,SVN,F,0.5
Serbo-Croatian,SVN,F,7.9
Slovene,SVN,T,87.9
Arabic,SWE,F,0.8
Finnish,SWE,F,2.4
Norwegian,SWE,F,0.5
Southern Slavic Languages,SWE,F,1.3
Spanish,SWE,F,0.6
Swedish,SWE,T,89.5
Swazi,SWZ,T,89.9
Zulu,SWZ,F,2.0
English,SYC,T,3.8
French,SYC,T,1.3
Seselwa,SYC,F,91.3
Arabic,SYR,T,90.0
Kurdish,SYR,F,9.0
English,TCA,T,0.0
